"","log2FoldChange","padj","Factor"
"ko:K03017",0.0621476812136592,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K03031",-0.0885486097065623,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K03038",-0.511884699957508,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K03065",-0.196552680178894,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K03083",-0.0635370697149389,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K03113",-0.155161873074895,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K03123",1.01419807267646,0.958442639970006,"Menthol_Menthol_vs_Control"
"ko:K03231",1.20000290587472,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K03232",-2.01776506634879,0.306844549016718,"Menthol_Menthol_vs_Control"
"ko:K03233",-0.0642600156117303,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K03234",0.824828350686647,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K03236",-0.870661508901618,0.399281852457611,"Menthol_Menthol_vs_Control"
"ko:K03246",-0.0835413714045587,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K03247",-0.0465510174166839,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K03263",-0.279105873759469,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K03283",-0.363839551741271,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K03521",0.118082583031412,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K03522",-0.783776804384256,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K03626",0.0367235581052493,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K03627",-0.421629118860743,0.995514422114898,"Menthol_Menthol_vs_Control"
"ko:K03661",-1.62994746501881,0.70889927734129,"Menthol_Menthol_vs_Control"
"ko:K03872",0.302967411063276,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K03873",-0.228970034484745,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K03936",0.193366380153429,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K03942",0.276026083321319,0.995514422114898,"Menthol_Menthol_vs_Control"
"ko:K03943",0.780890697831099,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K04043",0.155662974314944,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K04079",0.020573959134978,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K04345",0.77170949188561,0.958442639970006,"Menthol_Menthol_vs_Control"
"ko:K04348",1.41629849651394,0.833440711964174,"Menthol_Menthol_vs_Control"
"ko:K04354",-1.78979088226541,0.0877826143494441,"Menthol_Menthol_vs_Control"
"ko:K04364",-0.610578865822067,0.920415041130739,"Menthol_Menthol_vs_Control"
"ko:K04369",-1.0839916309619,0.828092446690565,"Menthol_Menthol_vs_Control"
"ko:K04370",-0.144205616172364,0.998795643598265,"Menthol_Menthol_vs_Control"
"ko:K04371",-0.433165548822353,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K04393",-0.325605580118152,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K04444",-1.04427097922058,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K04456",-0.538443683263551,0.961916795994164,"Menthol_Menthol_vs_Control"
"ko:K04503",-0.0894339438023686,0.998795643598265,"Menthol_Menthol_vs_Control"
